PixelID,TelID,EyeID,Status,Charge,Theta,Phi,TimeOffset,PulseStart,PulseCentroid,PulseStop,TraceBins
252,1,5,0,31.7511,44.1276,40.2687,0,401,0,408,-19.8529 6.79894 33.4508 -6.52698 -19.8529 -13.1899 16.7934 26.7878 3.46746 -3.1955 -9.85846 -6.52698 23.4563
205,1,5,0,0,40.3027,45.4334,0,1407,0,1429,31.8034 14.5521 -19.9505 -19.9505 -14.2 -8.44961 -28.5761 -11.3248 17.4273 11.6769 -8.44961 -5.57439 8.80168 0.176034 -22.8257 -5.57439 -5.57439 -5.57439 -5.57439 -22.8257 5.92646 -17.0753 -28.5761 -2.69918 0.176034 0.176034 -25.7009 -19.9505
227,1,5,0,0,40.3027,43.4666,0,1407,0,1429,-7.41462 -7.41462 -4.29602 -13.6518 -13.6518 -10.5332 -4.29602 -23.0076 -16.7704 -7.41462 -7.41462 5.05976 -4.29602 -7.41462 -4.29602 -13.6518 -19.889 -7.41462 -13.6518 -4.29602 23.7713 -4.29602 -16.7704 -19.889 -23.0076 8.17835 5.05976 26.8899
203,1,5,0,78.6229,37.705,45.398,0,1407,0,1429,-16.9481 -16.9481 -5.71621 -2.90825 2.70768 -0.100284 -11.3321 5.51564 -0.100284 33.5953 27.9793 19.5555 8.3236 2.70768 16.7475 25.1714 2.70768 2.70768 -11.3321 13.9395 27.9793 -2.90825 8.3236 -5.71621 -8.52417 11.1316 -14.1401 -33.7958
117,1,5,0,0,39.9708,53.2722,0,113,0,121,-34.8084 -31.5425 -11.9471 -2.14949 -18.4789 -15.213 -11.9471 -8.68126 -5.41537 -18.4789 -11.9471 -28.2766 -15.213 23.9776
224,1,5,0,0,36.3953,42.5864,0,1351,0,1367,-1.67333 -7.18549 9.35098 25.8874 1.08274 -7.18549 -4.42941 -31.9902 -18.2098 -12.6976 12.1071 12.1071 23.1314 -1.67333 -12.6976 1.08274 -7.18549 -23.722 -9.94157 -18.2098 -4.42941 12.1071
182,1,5,2,433.342,38.9919,46.3801,0,1407,709.199,1429,-2.74069 -9.54038 -12.9402 -6.14054 31.2578 14.2585 0.659154 14.2585 24.4581 31.2578 17.6584 14.2585 27.8579 10.8587 48.257 51.6568 24.4581 24.4581 10.8587 10.8587 10.8587 14.2585 17.6584 38.0575 17.6584 -16.3401 -36.7392 -23.1398
272,1,5,2,467.193,41.4492,38.4415,0,292,150.27,308,-18.2907 -18.2907 -5.93936 21.8512 6.41198 15.6755 9.49982 43.466 34.2025 40.3782 34.2025 43.466 46.5538 49.6417 12.5877 31.1147 24.939 24.939 37.2903 -9.02719 -9.02719 18.7633
271,1,5,0,36.1859,40.2029,39.5376,0,292,0,308,-13.5319 -5.45399 -5.45399 -8.14664 -8.14664 5.31661 16.0872 24.1652 24.1652 -5.45399 -24.3025 24.1652 45.7063 -10.8393 -10.8393 -5.45399 -13.5319 -21.6099 -0.06869 5.31661 10.7019 13.3946
293,1,5,0,35.9679,40.1033,37.5794,0,292,0,308,-2.77629 -13.1741 -20.106 -6.24222 -16.64 -9.70816 4.15559 21.4853 66.5424 45.7468 11.0875 -9.70816 18.0193 7.62152 7.62152 -6.24222 4.15559 14.5534 -6.24222 -13.1741 -33.9697 -27.0378
180,1,5,0,27.3679,36.3953,46.3136,0,1351,0,1367,-24.1733 -14.1281 -0.734595 16.0073 -0.734595 9.31056 39.446 39.446 22.7041 12.6589 2.61379 -0.734595 -14.1281 12.6589 -10.7797 5.96217 -10.7797 -20.8249 -4.08298 -14.1281 -17.4765 -0.734595
223,1,5,2,399.777,35.1073,43.5332,0,1351,680.04,1367,-4.82801 6.78291 9.68564 0.97745 9.68564 38.7129 15.4911 12.5884 35.8102 30.0047 15.4911 12.5884 30.0047 41.6157 44.5184 21.2966 47.4211 27.102 12.5884 3.88018 -4.82801 -7.73074
204,1,5,0,217.122,39.0078,44.45,0,1407,0,1429,8.63696 14.8152 -22.2543 20.9935 14.8152 -9.89782 -6.80869 24.0826 27.1717 24.0826 20.9935 11.7261 -6.80869 -0.630435 17.9043 17.9043 11.7261 -0.630435 -28.4326 -16.0761 2.4587 17.9043 14.8152 5.54783 27.1717 14.8152 17.9043 -6.80869
201,1,5,0,0,35.1073,45.3668,0,1351,0,1367,15.07 -28.3215 -28.3215 11.9706 -6.62574 -19.0233 -22.1227 -6.62574 -0.426957 -9.72513 -37.6196 -28.3215 -19.0233 -6.62574 -12.8245 -28.3215 -34.5203 -34.5203 -22.1227 -6.62574 -6.62574 -9.72513
274,1,5,2,237.459,44.0324,38.1848,0,401,202.555,408,18.1848 1.75982 -1.52518 11.6148 37.8949 14.8998 31.3249 51.0349 54.3199 34.6099 1.75982 8.32983 14.8998
225,1,5,0,0,37.705,43.502,0,1407,0,1429,-15.7215 -6.55972 -3.50579 5.65601 -24.8833 -12.6676 -0.451857 -18.7754 -12.6676 -9.61365 -9.61365 -15.7215 -6.55972 2.60207 23.9796 -0.451857 -6.55972 -9.61365 -3.50579 5.65601 -3.50579 27.0335 -6.55972 -6.55972 -0.451857 5.65601 11.7639 14.8178
275,1,5,0,0,45.3783,39.1074,0,401,0,408,21.4729 4.13893 -16.6618 -9.72825 -9.72825 -6.26146 -20.1286 -20.1286 11.0725 18.0061 -9.72825 11.0725 -6.26146
294,1,5,0,18.6623,41.3278,36.4487,0,292,0,308,-12.904 -29.9013 -12.904 -2.70568 -2.70568 -16.3035 7.49266 27.8893 41.4871 24.4899 -12.904 -26.5018 -6.10513 -6.10513 -12.904 21.0904 7.49266 0.693765 7.49266 4.09321 -2.70568 21.0904
202,1,5,0,125.482,36.4097,44.45,0,1351,0,1367,-0.102226 12.4204 4.90684 2.4023 7.41137 -2.60676 4.90684 14.925 14.925 27.4476 -5.11129 -25.1475 2.4023 27.4476 52.4929 37.4657 14.925 -2.60676 19.934 -20.1385 -25.1475 -37.6702
267,1,5,0,0,35.0245,39.8691,0,1351,0,1367,9.7936 6.71741 -2.51118 3.64121 3.64121 15.946 9.7936 0.565015 12.8698 -5.58737 0.565015 -30.1969 -17.8922 -33.2731 -14.816 31.327 28.2508 0.565015 -14.816 -36.3493 -27.1207 -5.58737
246,1,5,0,211.093,36.3519,40.7242,0,1351,0,1367,6.49175 -12.1285 12.6985 9.59512 9.59512 9.59512 -2.81837 12.6985 15.8019 40.6288 15.8019 25.112 -2.81837 0.285004 3.38838 18.9052 28.2153 18.9052 -18.3352 -2.81837 18.9052 3.38838
222,1,5,0,0,33.7985,42.6449,0,1351,0,1367,18.4132 30.6471 30.6471 12.2963 -15.2299 -24.4053 -15.2299 -24.4053 -9.11299 -6.05452 6.17935 -2.99605 -2.99605 0.0624177 -15.2299 -27.4638 -9.11299 15.3548 -2.99605 -12.1715 6.17935 21.4717
244,1,5,0,0,33.7591,40.8408,0,1351,0,1367,1.12151 9.79844 -10.4477 4.01382 -10.4477 -13.34 21.3677 24.26 -10.4477 -22.017 -13.34 -22.017 12.6908 1.12151 9.79844 21.3677 -16.2324 -36.4785 -4.66311 -4.66311 1.12151 -16.2324
200,1,5,0,0,33.8117,44.45,0,1351,0,1367,-27.7832 18.2676 2.91733 10.5925 -8.59536 -35.4583 -12.4329 -16.2705 10.5925 29.7803 -8.59536 10.5925 25.9427 -0.920232 -0.920232 -16.2705 -0.920232 -16.2705 2.91733 2.91733 6.75489 6.75489
245,1,5,0,0,35.0797,41.7002,0,1351,0,1367,-27.6632 -8.11277 34.2465 11.4377 -11.3712 -17.888 14.6961 11.4377 -8.11277 -17.888 -21.1464 -4.85436 11.4377 11.4377 -17.888 -21.1464 -30.9216 -8.11277 -11.3712 1.66245 -8.11277 -11.3712
347,1,5,0,0,52.5091,30.8135,0,1110,0,1133,13.8224 3.49183 3.49183 26.7356 -1.67344 -12.004 -14.5866 0.909193 -22.3345 -14.5866 0.909193 24.1529 -4.25608 -14.5866 -17.1693 -6.83871 13.8224 37.0661 18.9876 11.2397 -27.4998 -22.3345 -6.83871 -22.3345 -9.42135 16.405 3.49183 8.6571 8.6571
137,1,5,0,78.2744,37.5232,51.075,0,113,0,121,21.0117 12.8134 10.0806 26.4772 -3.58328 15.5461 1.88227 4.61504 29.21 -9.04882 -30.911 -9.04882 -9.04882 18.2789
349,1,5,0,89.4747,55.0293,29.9515,0,1110,0,1133,-30.241 -5.77357 -2.71514 9.51859 9.51859 -27.1826 33.986 21.7523 12.577 30.9276 12.577 0.343293 33.986 -8.832 -42.4748 -33.2995 -42.4748 -39.4163 30.9276 0.343293 -5.77357 -11.8904 -8.832 -21.0657 18.6939 43.1613 12.577 43.1613 55.3951
297,1,5,0,217.68,45.2589,36.9809,0,401,0,408,20.2776 4.96786 23.3396 60.083 50.8972 29.4635 1.90591 11.0918 11.0918 11.0918 -1.15604 -1.15604 -4.218
115,1,5,0,127.826,37.4024,52.9587,0,113,0,121,-7.84447 28.1629 10.1592 6.55849 -7.84447 -11.4452 -4.24373 35.3644 13.76 2.95775 -4.24373 10.1592 28.1629 28.1629
139,1,5,0,0,40.1033,51.3206,0,113,0,121,24.7887 1.91708 -7.88504 -1.35029 5.18446 -11.1524 14.9866 5.18446 -27.4893 -30.7567 -17.6872 -20.9545 -24.2219 5.18446
178,1,5,0,0,33.7985,46.2551,0,1351,0,1367,4.4721 -21.9892 -21.9892 14.3951 -18.6816 1.16443 1.16443 11.0874 17.7028 34.2411 -5.4509 -18.6816 17.7028 7.77977 -8.75857 -2.14323 27.6258 -2.14323 -21.9892 -8.75857 -18.6816 7.77977
179,1,5,0,0,35.0797,47.1998,0,1351,0,1367,-14.6172 4.89451 -34.1289 -24.373 -14.6172 1.64257 -21.1211 -14.6172 -14.6172 11.3984 21.1543 8.14646 -4.86133 1.64257 24.4062 -8.11328 -11.3652 14.6504 -4.86133 -21.1211 4.89451 -11.3652
296,1,5,0,56.2515,43.8995,36.1089,0,401,0,408,-18.7052 -5.3977 4.58295 24.5442 21.2174 11.2367 37.8518 31.198 7.90983 -18.7052 -8.72458 1.25607 -32.0128
304,1,5,0,0,54.157,34.1671,0,1110,0,1133,9.97027 -5.15491 -8.17995 -17.2551 -23.3051 -29.3552 -29.3552 -23.3051 -17.2551 -5.15491 0.895164 -5.15491 -8.17995 3.9202 12.9953 31.1455 -2.12987 -17.2551 -2.12987 9.97027 -5.15491 -8.17995 16.0203 3.9202 -8.17995 22.0704 0.895164 -2.12987 -26.3302
326,1,5,2,564.67,53.9124,31.6471,0,1110,561.672,1133,-4.57962 -12.8398 -34.8669 -15.5932 14.6941 47.7348 25.7077 31.2145 -1.82623 11.9407 6.43394 9.18734 28.4611 20.2009 0.927162 39.4746 33.9679 50.4882 50.4882 31.2145 39.4746 20.2009 61.5018 20.2009 39.4746 3.68055 -4.57962 0.927162 17.4475
327,1,5,0,0,55.3132,32.5306,0,1110,0,1133,5.86875 -0.249734 -15.5459 -9.42746 18.1057 -9.42746 -33.9014 -9.42746 -3.30898 -15.5459 -27.7829 15.0465 27.2835 -21.6644 -46.1384 -21.6644 -3.30898 11.9872 30.3427 -0.249734 11.9872 11.9872 -9.42746 -15.5459 -9.42746 -9.42746 -12.4867 11.9872 21.165
328,1,5,0,110.11,56.4416,30.7921,0,795,0,817,-8.42086 -38.3802 -46.5509 -24.7623 51.4978 29.7092 7.92061 5.19703 13.3678 26.9856 -5.69728 2.47345 13.3678 7.92061 5.19703 32.4328 13.3678 5.19703 -5.69728 -5.69728 7.92061 -0.250124 -2.9737 2.47345 5.19703 13.3678 7.92061 -2.9737
348,1,5,0,0,53.6156,29.1595,0,1110,0,1133,-4.23016 -6.77345 -19.4899 -9.31673 0.856413 -11.86 -24.5765 -4.23016 28.8326 11.0296 0.856413 -24.5765 -39.8362 11.0296 8.48627 23.746 31.3759 26.2893 5.94299 -32.2063 -22.0332 8.48627 -19.4899 -22.0332 -1.68687 -1.68687 -22.0332 -16.9466 8.48627
351,1,5,2,533.928,57.539,28.9435,0,795,403.421,817,-1.21326 6.62627 -16.8923 11.8526 4.01309 24.9185 11.8526 6.62627 14.4658 51.0503 37.9844 4.01309 40.5976 45.8239 14.4658 58.8898 22.3053 37.9844 22.3053 -9.05279 27.5317 19.6922 32.758 22.3053 22.3053 9.23945 -24.7318 -24.7318
373,1,5,0,0,57.1681,26.249,0,795,0,817,2.76577 -4.36701 -4.36701 -22.199 -7.9334 20.5977 -18.6326 -32.8981 -22.199 -11.4998 13.4649 24.1641 6.33216 2.76577 -7.9334 -7.9334 6.33216 9.89855 34.8633 20.5977 -7.9334 -7.9334 13.4649 6.33216 9.89855 -0.800618 -25.7654 -32.8981
