EventID,Rec_Level,Event_Class,Primary,Gen_LogE,Gen_CosZenith,Gen_Xmax,Gen_dEdXmax,Gen_SDPPhi,Gen_SDPTheta,Gen_Chi0,Gen_Rp,Gen_T0,Gen_CoreEyeDist,Gen_CherenkovFraction,Rec_LogE,Rec_CosZenith,Rec_Xmax,Rec_dEdXmax,Rec_SDPPhi,Rec_SDPTheta,Rec_Chi0,Rec_Rp,Rec_T0,Rec_CoreEyeDist,Rec_CherenkovFraction,Pixel_Start,Pixel_End
Batch_300000409:Shower_3384,10,5,2004,15.7253,0.601664,529.331,0.00796662,1.53094,2.28345,2.22192,912.49,29991.4,1147.21,96.1947,15.8765,0,624,0.0100207,1.573,2.29923,2.20667,1001.57,29952.9,1240.81,97.2464,3579,3604
Batch_300000821:Shower_1159,10,1,2004,16.7519,0.980509,609.091,0.0944306,-3.01327,1.38075,1.51551,1867.18,28019.9,1870.04,25.1506,16.85,0,554.386,0.0999417,-3.0251,1.38831,1.45906,1899.47,28188.2,1911.74,20.4069,3604,3666
Batch_300000821:Shower_3319,10,7,2004,15.7545,0.611489,583.24,0.00869556,1.5681,2.48222,1.51104,1062.22,29988.9,1064.12,95.721,15.4193,0,854.328,0.00348108,1.64326,2.46715,1.46361,783.149,30015.7,787.56,97.7248,3666,3691
Batch_300000821:Shower_5217,10,1,2212,15.6886,0.726983,664.63,0.00703776,-0.824094,1.00128,2.09966,1005.65,29987.6,1164.78,86.517,15.6973,0,760.014,0.00660639,-0.812893,1.00418,2.11519,940.399,29982,1100.34,92.7099,3691,3712
Batch_300000821:Shower_5245,8,4,2212,15.6886,0.727094,664.63,0.00703776,1.7308,2.31313,1.40763,725.253,29993.7,735.015,95.1558,-inf,0,0,0,1.65843,2.3349,1.44331,690.738,30008.5,691.041,97.887,3712,3735
Batch_300000821:Shower_7135,10,0,2212,16.9683,0.708581,679.549,0.145249,3.01833,2.34295,1.71808,1638.82,28356.1,1656.75,49.7761,16.788,0,830.54,0.0836983,3.00548,2.3459,1.61755,1681.82,28700.8,1688.1,32.0676,3735,3799
Batch_300000821:Shower_7137,10,1,2212,16.9683,0.70852,679.549,0.145249,2.64867,2.26548,1.96729,1516.13,28413.3,1643.64,49.9008,16.7442,0,716.805,0.0755761,2.66168,2.25494,1.84128,1545.29,28762.8,1609.9,43.9988,3799,3867
Batch_300000821:Shower_7144,5,4,2212,16.9683,0.708606,679.549,0.145249,3.02202,2.34334,1.71551,561.056,28779.7,566.983,81.9008,-inf,0,0,0,2.77953,2.70634,0.430527,-19.2129,27910.1,253.407,-123,3867,3922
Batch_300000821:Shower_7378,10,1,2004,16.6213,0.685901,622.316,0.0610344,-2.84647,1.92486,0.819756,2052.06,29952.2,2807.27,83.2327,16.8838,0,753.905,0.107221,-2.84425,1.91069,0.871028,2141.54,29715.1,2791.42,77.4207,3922,3956
Batch_300000821:Shower_8192,10,4,2212,15.8219,0.806192,591.753,0.0108945,2.62582,2.1831,1.3983,1221.1,29980.3,1239.49,82.7228,16.1413,0,266.86,0.0187368,2.60164,2.18556,1.36115,1569.73,30032.8,1613.62,89.6037,3956,3986
Batch_300000270:Shower_683,10,0,2004,16.7123,0.523285,658.004,0.0722506,-0.754875,0.608688,1.98485,1773.32,29971.7,1937,88.3454,17.1578,0,732.613,0.208832,-0.615986,0.625821,2.16174,1687.59,29821.1,1997.19,81.6628,3986,4014
Batch_300000270:Shower_2123,10,0,2212,16.7902,0.848468,708.613,0.10072,-3.03712,2.128,1.59505,826.962,28688.6,827.205,58.3537,16.6681,0,792.672,0.0637654,-3.03373,2.12086,1.49335,839.472,28880.9,845.019,50.9527,4014,4127
Batch_300000270:Shower_3183,10,1,2212,15.6455,0.565629,758.382,0.00772445,0.41818,1.96679,2.48128,1042.94,29989.6,1700.37,90.9309,15.591,0,851.741,0.00510891,0.381368,1.93126,2.49551,911.748,30019.4,1511.69,95.5996,4127,4172
Batch_300000270:Shower_3560,5,1,26056,15.84,0.717237,502.713,0.00978179,-2.87468,1.81291,0.831143,788.018,29992.7,1066.76,96.9378,-inf,0,0,0,0.394754,1.69289,2.74255,-73.9226,28810.4,-42.3591,-123,4172,4201
Batch_300000270:Shower_3570,10,1,26056,15.84,0.717282,502.713,0.00978179,-2.8121,1.75633,0.817854,1069.9,29986.6,1466.26,94.8181,16.3131,0,736.523,0.0275713,-2.74945,1.68368,0.835375,1180.04,29900.6,1588.6,95.7066,4201,4228
Batch_300000270:Shower_4395,5,4,2004,16.2392,0.911306,644.799,0.0242448,2.71981,1.18564,1.38798,609.56,28864.7,619.89,73.5936,-inf,0,0,0,2.63564,1.04327,0.42372,444.716,30064.9,1113.1,-123,4228,4259
Batch_300000270:Shower_4488,5,4,2004,16.6799,0.790367,555.266,0.0740338,2.73318,2.16288,1.87998,834.338,28685.3,875.869,69.5204,-inf,0,0,0,2.63984,2.07311,1.08248,751.049,30179.5,923.084,-123,4259,4286
Batch_300000270:Shower_9363,10,1,26056,16.3185,0.644462,525.296,0.0288048,-0.818299,1.00955,2.27584,1808.09,29964.1,2374.12,73.7049,16.2281,0,682.715,0.0225541,-0.832752,0.995824,2.29207,1616.14,29971.7,2156.88,81.0647,4286,4314
Batch_300000270:Shower_9389,10,1,26056,16.3185,0.64505,525.296,0.0288048,2.84022,1.62054,0.701737,1875.49,28962.4,2905.29,91.0056,16.2228,0,603.227,0.0226381,2.8472,1.61039,0.703582,1697.25,28992.3,2622.8,94.1689,4314,4342
Batch_300000367:Shower_2652,10,1,2004,16.243,0.776602,537.964,0.0274742,1.74437,2.0699,1.08519,1459.69,29972,1650.5,82.2516,16.34,0,474.34,0.0303836,1.77572,2.04046,1.06197,1558.18,29968.4,1789.56,88.0185,4342,4371
Batch_300000367:Shower_9236,10,1,7014,15.6448,0.808685,520.063,0.00638129,1.90442,1.88784,1.01796,849.843,29990.5,998.596,92.4377,15.9507,0,526.974,0.0120208,1.91776,1.88519,1.04156,933.787,29937.1,1082.84,90.4548,4371,4399
